ID,Name,Title,Costume,Museum,Element,Rarity,Origin,Family,Release date,Class,Mana Speed,Special Skill,Passive #1,Passive #2,Passive #3,Passive #4,Passive #5,Passive #CB1,Passive #CB2,Passive #CB3,Passive #CB4,Passive #CB5,AetherPower,Max level: Attack,Max level: Defense,Max level: Health,Max level: Power,Limit Break #1: Attack,Limit Break #1: Defense,Limit Break #1: Health,Limit Break #1: Power,Limit Break #2: Attack,Limit Break #2: Defense,Limit Break #2: Health,Limit Break #2: Power,Mana Bonus CB1,Max level CB1: Attack,Max level CB1: Defense,Max level CB1: Health,Max level CB1: Power,Limit Break CB1 #1: Attack,Limit Break CB1 #1: Defense,Limit Break CB1 #1: Health,Limit Break CB1 #1: Power,Limit Break CB1 #2: Attack,Limit Break CB1 #2: Defense,Limit Break CB1 #2: Health,Limit Break CB1 #2: Power,Mana Bonus CB2,Max level CB2: Attack,Max level CB2: Defense,Max level CB2: Health,Max level CB2: Power,Limit Break CB2 #1: Attack,Limit Break CB2 #1: Defense,Limit Break CB2 #1: Health,Limit Break CB2 #1: Power,Limit Break CB2 #2: Attack,Limit Break CB2 #2: Defense,Limit Break CB2 #2: Health,Limit Break CB2 #2: Power,Mana Bonus CB3,Max level CB3: Attack,Max level CB3: Defense,Max level CB3: Health,Max level CB3: Power,Limit Break CB3 #1: Attack,Limit Break CB3 #1: Defense,Limit Break CB3 #1: Health,Limit Break CB3 #1: Power,Limit Break CB3 #2: Attack,Limit Break CB3 #2: Defense,Limit Break CB3 #2: Health,Limit Break CB3 #2: Power,Mana Bonus CB4,Max level CB4: Attack,Max level CB4: Defense,Max level CB4: Health,Max level CB4: Power,Limit Break CB4 #1: Attack,Limit Break CB4 #1: Defense,Limit Break CB4 #1: Health,Limit Break CB4 #1: Power,Limit Break CB4 #2: Attack,Limit Break CB4 #2: Defense,Limit Break CB4 #2: Health,Limit Break CB4 #2: Power,parentHeroId,costumeBonusesId,CB1検索キー,CB2検索キー,CB3検索キー,CB4検索キー,CB1 Atk,CB1 Def,CB1 HP,CB1 Mana,CB2 Atk,CB2 Def,CB2 HP,CB2 Mana,CB3 Atk,CB3 Def,CB3 HP,CB3 Mana,CB4 Atk,CB4 Def,CB4 HP,CB4 Mana
knights_bauchan,Bauchan,Imp of Avalon,,1410,Red,3,RecurringFestival,knight,2017-06-03,Monk,Average,claw_power,,,,,,,,,,,Counter[-]attack,420,453,830,455,476,514,941,507,589,635,1163,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,knights_bauchan,,,,,,,,,,,,,,,,,,,,,
fables_pixie,Pixie,Sprite of Grimforest,,1411,Yellow,3,RecurringFestival,fable,2017-06-03,Cleric,Average,pixie_dust,,,,,,,,,,,Defense Up,427,436,848,455,484,494,961,507,598,610,1187,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fables_pixie,,,,,,,,,,,,,,,,,,,,,
holy_god_neith,Neith,Opener of the Ways,,100,Yellow,5,MonthlyHeroNovember2019,hotm2019,2019-11-01,Ranger,Average,sickle_of_eradication,resist_stop_mana_generation,,,,,,,,,,Attack Up,735,737,1299,770,792,794,1400,820,906,909,1602,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holy_god_neith,,,,,,,,,,,,,,,,,,,,,
dark_god_grimble,Grimble,The Goat-Riding Gnome,,101,Purple,5,MonthlyHeroDecember2019,hotm2019,2019-12-01,Cleric,Average,gnomish_carnage,resist_accuracy_modifier_debuffs,,,,,,,,,,Special Boost,615,824,1425,770,663,888,1536,820,759,1016,1757,921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dark_god_grimble,,,,,,,,,,,,,,,,,,,,,
ice_god_vela,Vela,Aquatic Conjurer,,102,Blue,5,MonthlyHeroJanuary2020,hotm2020,2020-01-01,Druid,Fast,aquatic_outbreak,resist_negative_minion_effects,,,,,,,,,,Attack Up,743,729,1303,771,801,785,1405,821,916,899,1607,922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ice_god_vela,,,,,,,,,,,,,,,,,,,,,
fire_god_jean_francois,Jean-François,Musketeer Mage,,103,Red,5,MonthlyHeroFebruary2020,hotm2020,2020-02-01,Wizard,Fast,seal_of_fire,resist_health_steal,,,,,,,,,,Counter[-]attack,737,723,1332,771,794,779,1436,822,909,891,1643,922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fire_god_jean_francois,,,,,,,,,,,,,,,,,,,,,
s3_heimdall,Heimdall,Vigilant Watchman,C0,63,Green,5,Season3,asgard,2017-06-03,Paladin,Slow,boon_of_gjallarhorn,,,,,,,,,,,Heal Increase,655,844,1417,788,705,910,1527,840,807,1041,1747,943,5%,838,1080,1912,988,902,1164,2061,1055,1032,1332,2358,1189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_heimdall,valhalla_buffed,valhalla_buffed_5,,,,28%,28%,35%,5%,,,,,,,,,,,,
s3_ratatoskr,Ratatoskr,Messenger of Yggdrasil,C0,64,Green,5,Season3,alfheim,2017-06-03,Monk,Average,nuts_of_yggdrasil,,,,,,,,,,,Defense Up,753,741,1353,785,812,799,1458,837,929,914,1668,939,5%,963,948,1826,983,1039,1022,1968,1050,1189,1169,2251,1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_ratatoskr,valhalla_buffed,valhalla_buffed_5,,,,28%,28%,35%,5%,,,,,,,,,,,,
s3_jott,Jott,Barbaric Ice Giant,,1135,Blue,4,Season3,jotunheim,2020-05-28,Barbarian,Slow,ice_boom,,,,,,,,,,,Defense Up,720,607,1126,664,782,660,1223,714,907,765,1418,815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_jott,kalevala,,,,,,,,,,,,,,,,,,,,
s3_sudri,Sudri,Fire Dwarf of Muspelheim,,1418,Red,3,Season3,muspelheim,2020-05-28,Ranger,Slow,burning_shields,,,,,,,,,,,Defense Up,439,484,775,462,498,549,878,515,615,679,1085,622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_sudri,kalevala,,,,,,,,,,,,,,,,,,,,
forest_god_telluria,Telluria,Forest God,,105,Green,5,MonthlyHeroMarch2020,hotm2020,2020-03-01,Paladin,Average,force_of_forest,resist_minion_removal,,,,,,,,,,Bulwark,613,832,1425,772,661,896,1536,822,756,1026,1757,922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forest_god_telluria,,,,,,,,,,,,,,,,,,,,,
s3_grevle,Grevle,Cunning Badger,,1419,Green,3,Season3,alfheim,2020-05-28,Wizard,Average,travelers_snack,,,,,,,,,,,Heal Increase,403,613,623,464,457,695,707,518,564,859,873,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_grevle,kalevala,,,,,,,,,,,,,,,,,,,,
s3_baldur,Baldur,Luminous God,C0,110,Red,5,Season3,muspelheim,2020-05-28,Ranger,Average,unbreakable_brawler,,,,,,,,,,,Heal Increase,807,696,1326,787,870,750,1429,839,995,858,1635,942,5%,1032,890,1790,986,1113,960,1929,1053,1273,1098,2207,1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_baldur,valhalla_buffed,valhalla_buffed_5,,,,28%,28%,35%,5%,,,,,,,,,,,,
s3_nordri,Nordri,Ice Dwarf of Jotunheim,C0,1412,Blue,3,Season3,jotunheim,2017-06-03,Barbarian,Average,frosty_axes,,,,,,,,,,,Rage,488,406,818,464,553,460,927,517,683,569,1146,623,1%,502,418,867,479,569,473,982,534,703,586,1214,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_nordri,kalevala,kalevala_3,,,,3%,3%,6%,1%,,,,,,,,,,,,
s3_tyr,Tyr,Relentless Justice,C0,65,Red,5,Season3,helheim,2017-06-03,Fighter,Fast,adamantite_claw,,,,,,,,,,,Attack Up,772,756,1312,790,832,814,1414,842,952,932,1617,945,5%,988,967,1771,989,1064,1041,1908,1056,1218,1192,2182,1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_tyr,valhalla_buffed,valhalla_buffed_5,,,,28%,28%,35%,5%,,,,,,,,,,,,
s3_sif,Sif,Fair-Haired Deity,C0,66,Yellow,5,Season3,midgard,2017-06-03,Rogue,Average,gold_weaver,,,,,,,,,,,Ailment Immunity,788,716,1339,788,850,772,1443,840,972,883,1651,943,5%,1008,916,1807,987,1088,988,1948,1055,1244,1130,2228,1188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_sif,valhalla_buffed,valhalla_buffed_5,,,,28%,28%,35%,5%,,,,,,,,,,,,
s3_mireweave,Mireweave,Swift Draugr,,1129,Blue,4,Season3,vanaheim,2017-06-03,Ranger,Very Fast,chain_of_pain,,,,,,,,,,,Special Boost,697,597,1175,660,757,648,1276,710,878,752,1480,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_mireweave,kalevala,,,,,,,,,,,,,,,,,,,,
s3_jarvur,Jarvur,Wolverine Pugilist,,1420,Blue,3,Season3,svartalfheim,2020-05-28,Druid,Fast,jab_and_hook,,,,,,,,,,,Special Boost,500,422,775,466,567,478,878,520,700,591,1085,627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_jarvur,kalevala,,,,,,,,,,,,,,,,,,,,
s3_mist,Mist,Commander of Valkyries,,1130,Yellow,4,Season3,midgard,2017-06-03,Cleric,Fast,valkyrie_charge,,,,,,,,,,,Attack Up,686,603,1196,661,745,655,1299,711,864,760,1507,811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_mist,kalevala,,,,,,,,,,,,,,,,,,,,
s3_brynhild,Brynhild,Shieldmaiden of Valkyries,,1131,Green,4,Season3,midgard,2017-06-03,Rogue,Fast,valkyrie_defense,,,,,,,,,,,Ailment Immunity,684,609,1183,660,743,662,1286,710,861,768,1491,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_brynhild,kalevala,,,,,,,,,,,,,,,,,,,,
s3_shadereave,Shadereave,Brutish Draugr,,1136,Red,4,Season3,helheim,2020-05-28,Fighter,Slow,eternal_servitude,,,,,,,,,,,Mana Boost,595,635,1357,661,646,690,1475,710,749,800,1710,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_shadereave,kalevala,,,,,,,,,,,,,,,,,,,,
s3_freya,Freya,Lady of the Slain,C0,67,Purple,5,Season3,vanaheim,2017-06-03,Druid,Fast,ravens_vigil,,,,,,,,,,,Regen,776,743,1339,792,836,801,1443,843,957,916,1651,947,5%,993,951,1807,991,1070,1025,1948,1059,1224,1172,2228,1193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_freya,valhalla_buffed,valhalla_buffed_5,,,,28%,28%,35%,5%,,,,,,,,,,,,
s3_ei_dunn,Ei-Dunn,Cursed Viking Battler,C0,1413,Red,3,Season3,niflheim,2017-06-03,Paladin,Average,tainted_axe,,,,,,,,,,,Ailment Immunity,422,481,851,466,478,545,965,520,591,674,1192,627,1%,434,495,902,481,492,561,1022,537,608,694,1263,648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_ei_dunn,kalevala,kalevala_3,,,,3%,3%,6%,1%,,,,,,,,,,,,
s3_agnes,Agnes,Courageous Villager,,1421,Yellow,3,Season3,asgard,2020-05-28,Rogue,Fast,precise_chop,,,,,,,,,,,Attack Up,556,486,491,464,630,551,557,517,778,681,688,624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_agnes,kalevala,,,,,,,,,,,,,,,,,,,,
s3_gullinbursti,Gullinbursti,Golden Boar,C0,1137,Yellow,4,Season3,asgard,2020-05-28,Druid,Slow,angry_boar,,,,,,,,,,,Heal Increase,607,607,1396,662,660,660,1517,713,765,765,1758,813,1%,625,625,1479,685,679,679,1608,737,787,787,1863,841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_gullinbursti,kalevala,kalevala_4,,,,3%,3%,6%,1%,,,,,,,,,,,,
s3_anwindr,An-Windr,Cursed Viking Bruiser,,1422,Purple,3,Season3,niflheim,2020-05-28,Ranger,Slow,tribal_rage,,,,,,,,,,,Counter[-]attack,424,504,792,465,480,571,898,518,593,705,1109,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_anwindr,kalevala,,,,,,,,,,,,,,,,,,,,
s3_fura,Fura,Poisoner of Svartalfheim,C0,1138,Purple,4,Season3,svartalfheim,2020-05-28,Wizard,Average,nightglade_pollen,,,,,,,,,,,Attack Up,707,629,1083,660,768,683,1177,709,891,792,1365,809,1%,728,647,1147,681,791,703,1247,733,917,815,1446,836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_fura,kalevala,kalevala_4,,,,3%,3%,6%,1%,,,,,,,,,,,,
s3_almur,Almur,Shadowblade of Svartalfheim,C0,1139,Green,4,Season3,svartalfheim,2020-05-28,Sorcerer,Fast,shadow_sweep,,,,,,,,,,,Special Boost,626,648,1262,662,681,704,1371,712,789,816,1590,812,1%,644,667,1337,684,701,725,1453,736,812,840,1685,840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_almur,kalevala,kalevala_4,,,,3%,3%,6%,1%,,,,,,,,,,,,
s3_bjorn,Bjorn,Brave Villager,C0,1414,Purple,3,Season3,midgard,2017-06-03,Monk,Average,dual_slash,,,,,,,,,,,Attack Up,458,436,827,463,520,494,937,516,642,610,1158,622,1%,471,449,876,478,535,508,993,533,661,628,1227,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_bjorn,kalevala,kalevala_3,,,,3%,3%,6%,1%,,,,,,,,,,,,
s3_kvasir,Kvasir,Beekeeper of Alfheim,C0,1415,Yellow,3,Season3,alfheim,2017-06-03,Druid,Fast,bee_bravado,,,,,,,,,,,Defense Up,429,424,915,461,486,480,1038,514,601,593,1282,620,1%,441,436,969,477,500,494,1100,532,619,610,1358,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_kvasir,kalevala,kalevala_3,,,,3%,3%,6%,1%,,,,,,,,,,,,
s3_stonecleave,Stonecleave,Relentless Draugr,,1132,Purple,4,Season3,helheim,2017-06-03,Barbarian,Average,dire_ghost,,,,,,,,,,,Rage,726,622,1056,661,789,676,1147,711,915,784,1330,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_stonecleave,kalevala,,,,,,,,,,,,,,,,,,,,
s3_sumle,Sumle,Burly Fire Giant,C0,1133,Red,4,Season3,muspelheim,2017-06-03,Monk,Slow,magma_boulders,,,,,,,,,,,Counter[-]attack,716,629,1077,662,778,683,1170,712,902,792,1357,812,1%,737,647,1141,683,801,703,1240,735,929,815,1438,839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_sumle,kalevala,kalevala_4,,,,3%,3%,6%,1%,,,,,,,,,,,,
s3_by_ulf,By-Ulf,Cursed Viking Brawler,,1416,Green,3,Season3,niflheim,2017-06-03,Paladin,Average,hollow_boast,,,,,,,,,,,Special Armor,436,446,865,463,494,506,981,516,610,625,1212,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_by_ulf,kalevala,,,,,,,,,,,,,,,,,,,,
s3_alfrike,Alfrike,Queen of Svartalfheim,C0,108,Purple,5,Season3,svartalfheim,2020-04-23,Wizard,Very Slow,cube_of_dark_realm,,,,,,,,,,,Damage Reduction,659,844,1421,790,710,910,1531,842,812,1041,1752,945,5%,843,1080,1918,990,908,1164,2066,1057,1039,1332,2365,1192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_alfrike,valhalla_buffed,valhalla_buffed_5,,,,28%,28%,35%,5%,,,,,,,,,,,,
s3_norns,Norns,Weavers of Destiny,C0,106,Yellow,5,Season3,vanaheim,2020-03-26,Sorcerer,Average,twist_of_fate,,,,,,,,,,,Special Boost,770,718,1369,787,830,774,1476,838,949,886,1689,941,5%,985,919,1848,985,1062,990,1992,1052,1214,1134,2280,1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_norns,valhalla_buffed,valhalla_buffed_5,,,,28%,28%,35%,5%,,,,,,,,,,,,
s3_fenrir,Fenrir,Leader of Niflheim,C0,104,Blue,5,Season3,niflheim,2020-02-27,Fighter,Fast,gargantuan_bite,,,,,,,,,,,Rage,780,737,1297,785,841,794,1398,837,962,909,1600,940,5%,998,943,1750,983,1076,1016,1887,1050,1231,1163,2160,1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_fenrir,valhalla_buffed,valhalla_buffed_5,,,,28%,28%,35%,5%,,,,,,,,,,,,
holy_god_malosi,Malosi,Reigning Champion,,107,Yellow,5,MonthlyHeroApril2020,hotm2020,2020-04-01,Barbarian,Very Fast,power_punch,resist_defense_modifier_debuffs,,,,,,,,,,Rage,743,729,1303,771,801,785,1405,821,916,899,1607,922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holy_god_malosi,,,,,,,,,,,,,,,,,,,,,
dark_god_clarissa,Clarissa,Brash Channeler,,109,Purple,5,MonthlyHeroMay2020,hotm2020,2020-05-01,Paladin,Very Fast,miasma_mace,resist_poison,,,,,,,,,,Dodge,733,712,1367,772,790,768,1474,822,904,878,1686,923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dark_god_clarissa,,,,,,,,,,,,,,,,,,,,,
ice_god_raffaele,Raffaele,Tranquil Channeler,,111,Blue,5,MonthlyHeroJune2020,hotm2020,2020-06-01,Monk,Slow,ice_treatment,resist_attack_modifier_debuffs,,,,,,,,,,Defense Up,650,803,1402,773,701,865,1511,824,802,990,1729,924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ice_god_raffaele,,,,,,,,,,,,,,,,,,,,,
s3_skadi,Skadi,Goddess of Jotunheim,C0,112,Blue,5,Season3,jotunheim,2020-06-25,Monk,Average,iceberg_crush,,,,,,,,,,,Attack Up,696,793,1411,788,750,854,1520,839,858,977,1739,942,5%,890,1015,1904,987,960,1093,2052,1054,1098,1250,2347,1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_skadi,valhalla_buffed,valhalla_buffed_5,,,,28%,28%,35%,5%,,,,,,,,,,,,
easter_chick_jr,Chick Jr.,Squire of Springvale,,1417,Blue,3,Easter,easter,2017-06-03,Paladin,Average,compact_lance,,,,,,,,,,,Special Boost,523,413,703,462,592,468,797,514,732,579,985,621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,easter_chick_jr,,,,,,,,,,,,,,,,,,,,,
easter_lady_woolerton,Lady Woolerton,Mender of Springvale,,1134,Yellow,4,Easter,easter,2017-06-03,Cleric,Fast,smooth_treatment,,,,,,,,,,,Defense Up,626,667,1217,661,681,725,1323,711,789,840,1533,810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,easter_lady_woolerton,,,,,,,,,,,,,,,,,,,,,
easter_sir_roostley,Sir Roostley,Mighty Knight of Springvale,,68,Yellow,5,Easter,easter,2017-06-03,Paladin,Average,luminous_lance,,,,,,,,,,,Special Boost,778,727,1347,789,839,783,1451,841,960,896,1661,944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,easter_sir_roostley,,,,,,,,,,,,,,,,,,,,,
easter_killhare,Killhare,Savage Protector of Springvale,C0,69,Purple,5,Easter,easter,2017-06-03,Fighter,Average,reckless_swing,,,,,,,,,,,Attack Up,741,756,1382,789,799,814,1489,841,914,932,1704,944,5%,904,907,1727,937,974,976,1861,999,1115,1118,2130,1126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,easter_killhare,easter,easter_5,,,,22%,20%,25%,5%,,,,,,,,,,,,
hidden_dark_god_myztero,Myztero,Spell-Bending Conundrum,,70,Purple,5,HeroesOfTheMonthEvent,mystery,2017-06-03,Rogue,Very Fast,absordium_deflectors,absorb_major_debuffs,,,,,,,,,,Bulwark,778,743,1388,799,839,801,1496,852,960,916,1711,957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hidden_dark_god_myztero,,,,,,,,,,,,,,,,,,,,,
s3_gefjon,Gefjon,Goddess of Harvest,C0,125,Red,5,Season3,muspelheim,2020-10-22,Ranger,Fast,maidens_command,,,,,,,,,,,Attack Up,772,766,1258,785,832,825,1356,837,952,944,1551,939,5%,988,980,1698,982,1064,1056,1830,1049,1218,1208,2093,1182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_gefjon,valhalla_buffed,valhalla_buffed_5,,,,28%,28%,35%,5%,,,,,,,,,,,,
s3_frigg,Frigg,Goddess of Foresight,C0,116,Green,5,Season3,alfheim,2020-08-27,Rogue,Fast,brittling_force,,,,,,,,,,,Attack Up,753,760,1320,786,812,819,1423,837,929,937,1628,940,5%,963,972,1782,983,1039,1048,1921,1051,1189,1199,2197,1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_frigg,valhalla_buffed,valhalla_buffed_5,,,,28%,28%,35%,5%,,,,,,,,,,,,
s3_odin,Odin,Wise All-Father,C0,129,Yellow,5,Season3,midgard,2020-11-26,Paladin,Fast,fury_of_grimnir,,,,,,,,,,,Attack Up,762,751,1330,788,821,810,1434,839,939,927,1640,942,5%,975,961,1795,986,1050,1036,1935,1053,1201,1186,2214,1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_odin,valhalla_buffed,valhalla_buffed_5,,,,28%,28%,35%,5%,,,,,,,,,,,,
s3_loki_fish,Salmon Loki,Trickster Fish,C0,163,Purple,5,Season3,niflheim,2021-07-04,Druid,Average,tricksters_transformation,,,,,,,,,,,Bulwark,745,751,1376,788,803,810,1482,840,919,927,1696,943,5%,953,961,1857,987,1027,1036,2000,1054,1176,1186,2289,1189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_loki_fish,valhalla_buffed,valhalla_buffed_5,,,,28%,28%,35%,5%,,,,,,,,,,,,
sand_roc,Roc,Protector of Sand Empire,C0,71,Yellow,5,Summer,sand,2017-06-03,Barbarian,Average,sand_cyclone,,,,,,,,,,,Dodge,762,739,1361,789,821,796,1467,840,939,911,1678,943,5%,952,923,1769,964,1026,995,1907,1029,1173,1138,2181,1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sand_roc,sand,sand_5,,,,25%,25%,30%,5%,,,,,,,,,,,,
s3_loki_female,Lady Loki,Trickster Goddess,C0,114,Red,5,Season3,helheim,2020-07-23,Fighter,Average,tricksters_malice,,,,,,,,,,,Defense Up,747,776,1312,787,805,836,1414,838,922,957,1617,942,5%,956,993,1771,985,1030,1070,1908,1052,1180,1224,2182,1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_loki_female,valhalla_buffed,valhalla_buffed_5,,,,28%,28%,35%,5%,,,,,,,,,,,,
s3_thor,Thor,God of Thunder,C0,134,Yellow,5,Season3,midgard,2021-01-28,Fighter,Very Fast,power_of_mjolnir,,,,,,,,,,,Attack Up,749,735,1394,788,808,792,1502,839,924,906,1719,942,5%,958,940,1881,986,1034,1013,2027,1054,1182,1159,2320,1188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_thor,valhalla_buffed,valhalla_buffed_5,,,,28%,28%,35%,5%,,,,,,,,,,,,
holy_god_bai_yeong,Bai Yeong,Blade Dancer,,117,Yellow,5,MonthlyHeroSeptember2020,hotm2020,2020-09-01,Ranger,Fast,stunning_steel,resist_debuffs_from_minions,,,,,,,,,,Rage,749,735,1314,776,808,792,1416,827,924,906,1620,928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,holy_god_bai_yeong,,,,,,,,,,,,,,,,,,,,,
forest_god_zocc,Zocc,Master of Keys,,115,Green,5,MonthlyHeroAugust2020,hotm2020,2020-08-01,Rogue,Average,keyknife_typhoon,resist_water,,,,,,,,,,Attack Up,739,725,1351,775,796,781,1456,826,911,894,1666,927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forest_god_zocc,,,,,,,,,,,,,,,,,,,,,
fire_god_noor,Noor,Sparrow Whisperer,,113,Red,5,MonthlyHeroJuly2020,hotm2020,2020-07-01,Druid,Slow,sparrow_fury,summon_familiar_on_enemy_minion_summon,,,,,,,,,,Mana Boost,704,782,1314,774,759,843,1416,824,868,965,1620,925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fire_god_noor,,,,,,,,,,,,,,,,,,,,,
s3_bera,Bera,Princess of the Dísir,C0,118,Purple,5,Season3,vanaheim,2020-09-24,Monk,Fast,disir_of_dusk,,,,,,,,,,,Defense Up,743,749,1369,786,801,808,1476,838,916,924,1689,940,5%,951,958,1848,984,1025,1034,1992,1052,1172,1182,2280,1185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s3_bera,valhalla_buffed,valhalla_buffed_5,,,,28%,28%,35%,5%,,,,,,,,,,,,
dark_god_zulag,Zulag,The Valiant,,119,Purple,5,MonthlyHeroOctober2020,hotm2020,2020-10-01,Paladin,Average,vast_ward,resist_sand,,,,,,,,,,Ailment Immunity,669,782,1433,778,721,843,1545,829,825,965,1767,931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dark_god_zulag,,,,,,,,,,,,,,,,,,,,,
ice_god_glenda,Glenda,Magical Godmother,,128,Blue,5,MonthlyHeroNovember2020,hotm2020,2020-11-01,Wizard,Average,midnight_magic,resist_buff_immunity,,,,,,,,,,Attack Up,749,723,1361,780,808,779,1467,831,924,891,1678,932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ice_god_glenda,,,,,,,,,,,,,,,,,,,,,
fire_god_reuben,Reuben,Sworn Occultist,,130,Red,5,MonthlyHeroDecember2020,hotm2020,2020-12-01,Cleric,Fast,occult_redemption,resist_mana_generation_modifier_debuffs,,,,,,,,,,Rage,766,737,1310,782,825,794,1411,833,944,909,1615,936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fire_god_reuben,,,,,,,,,,,,,,,,,,,,,
